"","name","pval","adj_pval","significance"
"ENSMUSG00000024388","Myo7b",2.75185471953769e-21,8.04059871882476e-19,1
"ENSMUSG00000055254","Ntrk2",2.76994581742619e-21,8.04059871882476e-19,1
"ENSMUSG00000025357","Dgka",3.9319463648562e-21,1.12634742512216e-18,1
"ENSMUSG00000002565","Scin",4.61033480634072e-21,1.30352726063433e-18,1
"ENSMUSG00000036752","Tubb4b",5.06188377014838e-21,1.41284963538334e-18,1
"ENSMUSG00000020027","Socs2",5.89031535152164e-21,1.62326652554402e-18,1
"ENSMUSG00000001986","Gria3",6.72584118631359e-21,1.80775664774362e-18,1
"ENSMUSG00000038560","Sp6",6.66815770041084e-21,1.80775664774362e-18,1
"ENSMUSG00000038497","Tmco3",1.47394646020475e-20,3.91332785184361e-18,1
"ENSMUSG00000006800","Sulf2",1.57266950989711e-20,4.12513107228553e-18,1
"ENSMUSG00000040618","Pck2",2.01535291083129e-20,5.20545480889766e-18,1
"ENSMUSG00000079056","Kcnip3",2.0323534001943e-20,5.20545480889766e-18,1
"ENSMUSG00000024867","Pip5k1b",2.21285892952552e-20,5.53748870743679e-18,1
"ENSMUSG00000032121","Tmem218",2.19589968868532e-20,5.53748870743679e-18,1
"ENSMUSG00000034557","Zfyve9",3.09675931169878e-20,7.66131215624934e-18,1
"ENSMUSG00000026971","Itgb6",3.61080235601424e-20,8.70286053540825e-18,1
"ENSMUSG00000033610","Pank1",3.63768457453562e-20,8.70286053540825e-18,1
"ENSMUSG00000034990","Otoa",3.6267368910329e-20,8.70286053540825e-18,1
"ENSMUSG00000040972","Igsf21",4.44696373851703e-20,1.05233529947015e-17,1
"ENSMUSG00000035246","Pcyt1b",4.72219136721806e-20,1.10544976619037e-17,1
"ENSMUSG00000031570","Ppapdc1b",4.94683866831071e-20,1.14571941114673e-17,1
"ENSMUSG00000029195","Klb",5.30619754954282e-20,1.21601291422207e-17,1
"ENSMUSG00000030806","Stx1b",6.04436483953839e-20,1.37074861376657e-17,1
"ENSMUSG00000060572","Mfap2",6.32080779860268e-20,1.41866295446782e-17,1
"ENSMUSG00000025140","Pycr1",6.68521746729348e-20,1.48514152531068e-17,1
"ENSMUSG00000096603","Gm7694",8.08214867781649e-20,1.77733796833074e-17,1
"ENSMUSG00000058248","Kcnh1",8.53046280131353e-20,1.85716705647397e-17,1
"ENSMUSG00000032715","Trib3",9.23837813845668e-20,1.99137356883505e-17,1
"ENSMUSG00000056379","Taar1",9.38597519189209e-20,2.0033535872812e-17,1
"ENSMUSG00000042846","Lrrtm3",9.53975565837443e-20,2.01640796542204e-17,1
"ENSMUSG00000051855","Mest",1.22933700345915e-19,2.56196407422817e-17,1
"ENSMUSG00000062372","Otof",1.23561723298864e-19,2.56196407422817e-17,1
"ENSMUSG00000023004","Tuba1b",1.62025075876962e-19,3.32778106312956e-17,1
"ENSMUSG00000026247","Ecel1",1.974588811033e-19,4.01764233691584e-17,1
"ENSMUSG00000037716","Ccdc33",2.58240088989821e-19,5.20568979388648e-17,1
"ENSMUSG00000029695","Aass",2.8699087373744e-19,5.73218193774111e-17,1
"ENSMUSG00000046727","Cystm1",2.9267995614863e-19,5.7926684775562e-17,1
"ENSMUSG00000027313","Chac1",2.96062068174289e-19,5.80681737497518e-17,1
"ENSMUSG00000021032","Ngb",3.35002312490345e-19,6.45427906657283e-17,1
"ENSMUSG00000053358","Gm9905",3.34017493028587e-19,6.45427906657283e-17,1
"ENSMUSG00000027584","Oprl1",4.16030188586773e-19,7.94508178572161e-17,1
"ENSMUSG00000026950","Neb",5.24335219111446e-19,9.92634961328286e-17,1
"ENSMUSG00000030228","Pik3c2g",5.51115773223704e-19,1.0343397843839e-16,1
"ENSMUSG00000072235","Tuba1a",6.22801373714932e-19,1.15888963308955e-16,1
"ENSMUSG00000078439","2210404O07Rik",6.91711017315615e-19,1.27620682694731e-16,1
"ENSMUSG00000021749","Oit1",8.28412822740112e-19,1.51557777847689e-16,1
"ENSMUSG00000030257","Srgap3",1.07516453906058e-18,1.95061726499065e-16,1
"ENSMUSG00000036052","Dnajb5",1.09634457477201e-18,1.97260477168277e-16,1
"ENSMUSG00000097929","2810011L19Rik",1.18355671985915e-18,2.11206666787325e-16,1
"ENSMUSG00000052852","Reep1",1.27999285358447e-18,2.24731648511189e-16,1
"ENSMUSG00000071645","Tut1",1.27709941833695e-18,2.24731648511189e-16,1
"ENSMUSG00000021700","Rab3c",1.32662026160724e-18,2.27416139491742e-16,1
"ENSMUSG00000031226","Pbdc1",1.31709466770975e-18,2.27416139491742e-16,1
"ENSMUSG00000032854","Ugt8a",1.31239914474155e-18,2.27416139491742e-16,1
"ENSMUSG00000087184","Gm11650",2.00061815551471e-18,3.4027701456024e-16,1
"ENSMUSG00000034958","Atcay",2.13570333486982e-18,3.54934330560694e-16,1
"ENSMUSG00000058317","Ube2e2",2.12996158309016e-18,3.54934330560694e-16,1
"ENSMUSG00000063659","Zbtb18",2.13281856316029e-18,3.54934330560694e-16,1
"ENSMUSG00000034164","Emid1",2.25472935324699e-18,3.71876611738941e-16,1
"ENSMUSG00000000826","Dnajc5",2.43245909483773e-18,3.98173435742198e-16,1
"ENSMUSG00000004359","Spic",2.55976209158593e-18,4.12900646238938e-16,1
"ENSMUSG00000034868","Myl12b",2.56035952607857e-18,4.12900646238938e-16,1
"ENSMUSG00000082551","Gm15065",2.69272929048094e-18,4.31054480757798e-16,1
"ENSMUSG00000018211","Wfdc15b",3.0261772019981e-18,4.80897108501465e-16,1
"ENSMUSG00000043661","Gm9785",3.28563067329917e-18,5.18343952089828e-16,1
"ENSMUSG00000020900","Myh10",3.73197398004974e-18,5.84523780716999e-16,1
"ENSMUSG00000025050","Pcgf6",3.77170260757531e-18,5.86526696210872e-16,1
"ENSMUSG00000030876","Mettl9",3.92120965957725e-18,6.05451457437279e-16,1
"ENSMUSG00000035277","Arx",4.04896547018402e-18,6.16569963010979e-16,1
"ENSMUSG00000046826","Fam187b",4.04986012174774e-18,6.16569963010979e-16,1
"ENSMUSG00000031099","Smarca1",4.39597113228541e-18,6.646158855624e-16,1
"ENSMUSG00000033715","Akr1c14",5.18275113674411e-18,7.78163275848663e-16,1
"ENSMUSG00000053647","Gper1",5.25403350218802e-18,7.83462762850243e-16,1
"ENSMUSG00000021242","Npc2",5.63900190059119e-18,8.351476896447e-16,1
"ENSMUSG00000021763","BC067074",5.73278702970013e-18,8.43300719078388e-16,1
"ENSMUSG00000031934","Panx1",6.60429722276953e-18,9.64980904945742e-16,1
"ENSMUSG00000000215","Ins2",6.66207592120898e-18,9.66933699204271e-16,1
"ENSMUSG00000005103","Wdr1",7.4942519900685e-18,1.08051231838266e-15,1
"ENSMUSG00000030607","Acan",7.77282944623979e-18,1.11330440706636e-15,1
"ENSMUSG00000041078","Grid1",7.92201411125385e-18,1.12725600794842e-15,1
"ENSMUSG00000009092","Derl3",9.56720437816301e-18,1.35251692543498e-15,1
"ENSMUSG00000005204","Senp3",9.74223087092724e-18,1.36837489219972e-15,1
"ENSMUSG00000026475","Rgs16",1.01539627168901e-17,1.41706360454752e-15,1
"ENSMUSG00000039607","Rbms3",1.15256908306997e-17,1.59825359920487e-15,1
"ENSMUSG00000053399","Adamts18",1.16736990522628e-17,1.60853229156211e-15,1
"ENSMUSG00000050069","Grem2",1.19114406666259e-17,1.62105686729088e-15,1
"ENSMUSG00000053398","Phgdh",1.19135133327151e-17,1.62105686729088e-15,1
"ENSMUSG00000024127","Prepl",1.24283065365159e-17,1.68060038264899e-15,1
"ENSMUSG00000054162","Spock3",1.34671100466288e-17,1.80982995571084e-15,1
"ENSMUSG00000030621","Me3",1.35904853504428e-17,1.81520525499687e-15,1
"ENSMUSG00000019872","Smpdl3a",1.38617532227502e-17,1.84014774032009e-15,1
"ENSMUSG00000066392","Nrxn3",1.61133046176643e-17,2.12607730200709e-15,1
"ENSMUSG00000055676","Gm5069",1.67645729892861e-17,2.19868384668522e-15,1
"ENSMUSG00000027524","Edn3",1.82121459385563e-17,2.37423131274437e-15,1
"ENSMUSG00000031700","Gpt2",2.06905377219434e-17,2.68127200443113e-15,1
"ENSMUSG00000027386","Fbln7",2.4610456778946e-17,3.1675408865473e-15,1
"ENSMUSG00000038456","Dennd2a",2.47339098210023e-17,3.1675408865473e-15,1
"ENSMUSG00000076441","Ass1",2.79251937794618e-17,3.5553180922378e-15,1
"ENSMUSG00000037188","Grhl3",2.87465033110018e-17,3.63860536967337e-15,1
"ENSMUSG00000025007","Aldh18a1",2.90603571658103e-17,3.65706957142691e-15,1
"ENSMUSG00000004266","Ptpn6",3.35079808669681e-17,4.19254167502737e-15,1
"ENSMUSG00000068263","Efcc1",3.64125263562535e-17,4.52992635029712e-15,1
"ENSMUSG00000021690","Jmy",3.95267412133561e-17,4.88388619629907e-15,1
"ENSMUSG00000024366","Gfra3",3.97063918398298e-17,4.88388619629907e-15,1
"ENSMUSG00000003934","Efnb3",4.02274052451187e-17,4.9201732561319e-15,1
"ENSMUSG00000047085","Lrrc4b",4.06301922830187e-17,4.94167550946145e-15,1
"ENSMUSG00000070392","Gm20634",4.19649549872786e-17,5.07566130571135e-15,1
"ENSMUSG00000027238","Frmd5",4.71767665731058e-17,5.64332629155542e-15,1
"ENSMUSG00000037470","Uggt1",4.70552100892688e-17,5.64332629155542e-15,1
"ENSMUSG00000049971","Glt1d1",4.8028069738447e-17,5.71376560806409e-15,1
"ENSMUSG00000029311","Hsd17b11",4.89914333107996e-17,5.79669834026858e-15,1
"ENSMUSG00000017667","Zfp334",5.07411709431768e-17,5.97127585191299e-15,1
"ENSMUSG00000072884","Gm10433",6.59288205021921e-17,7.71686210297433e-15,1
"ENSMUSG00000052387","Trpm3",6.93278265714638e-17,8.07131610848844e-15,1
"ENSMUSG00000000805","Car4",7.41737692955133e-17,8.58955920921607e-15,1
"ENSMUSG00000020297","Nsg2",7.61615222173505e-17,8.77308201160813e-15,1
"ENSMUSG00000070697","Utp3",8.11223635411647e-17,9.29534198239314e-15,1
"ENSMUSG00000016256","Ctsz",8.53448331620456e-17,9.67730397276507e-15,1
"ENSMUSG00000031431","Tsc22d3",8.53002432862326e-17,9.67730397276507e-15,1
"ENSMUSG00000021703","Serinc5",1.01171422718683e-16,1.14124510052251e-14,1
"ENSMUSG00000068115","Ninl",1.15923737129311e-16,1.30091529950631e-14,1
"ENSMUSG00000023927","Satb1",1.17736300347079e-16,1.3144805101827e-14,1
"ENSMUSG00000032024","Clmp",1.18574097776794e-16,1.31707994015234e-14,1
"ENSMUSG00000069911","Fam196b",1.34059258285327e-16,1.48152493001515e-14,1
"ENSMUSG00000040354","Mars",1.37476298421317e-16,1.51161439036894e-14,1
"ENSMUSG00000060988","Galnt13",1.39060798756398e-16,1.52135309031435e-14,1
"ENSMUSG00000049811","Fam161a",1.56670467358653e-16,1.70543637243262e-14,1
"ENSMUSG00000002778","Kdelr1",1.61560913488098e-16,1.7499217151987e-14,1
"ENSMUSG00000099032","Tcf24",2.25090708493122e-16,2.42596525475433e-14,1
"ENSMUSG00000038393","Txnip",2.29048318709272e-16,2.45645859439387e-14,1
"ENSMUSG00000025795","Rassf3",2.41114543719203e-16,2.57318859377979e-14,1
"ENSMUSG00000000049","Apoh",2.82049152363028e-16,2.99536199809536e-14,1
"ENSMUSG00000056158","Car10",2.96153253723377e-16,3.12987984796681e-14,1
"ENSMUSG00000011589","Fsd1",2.97683688660144e-16,3.13085583856039e-14,1
"ENSMUSG00000004789","Dlst",3.2928065212313e-16,3.4465235948907e-14,1
"ENSMUSG00000068748","Ptprz1",3.38336041925806e-16,3.52436075060609e-14,1
"ENSMUSG00000031107","Rbmx2",3.74539172075139e-16,3.88290110249898e-14,1
"ENSMUSG00000075224","Lrrc55",3.77842771427812e-16,3.89858529704023e-14,1
"ENSMUSG00000036435","Exoc1",3.82216980197702e-16,3.92511597919065e-14,1
"ENSMUSG00000003355","Fkbp11",3.88739594998683e-16,3.97335667733161e-14,1
"ENSMUSG00000039652","Cpeb3",3.9581350741677e-16,4.02675507942547e-14,1
"ENSMUSG00000037833","Sh2d4b",3.97792464389337e-16,4.02806499638151e-14,1
"ENSMUSG00000028551","Cdkn2c",4.09236569835497e-16,4.1159668552044e-14,1
"ENSMUSG00000074622","Mafb",4.10254378567523e-16,4.1159668552044e-14,1
"ENSMUSG00000029182","1700001C02Rik",4.13059910478233e-16,4.12510427111083e-14,1
"ENSMUSG00000020169","Best3",4.36037281998091e-16,4.33468843213719e-14,1
"ENSMUSG00000085636","Gm11769",4.59861352763271e-16,4.55074614136781e-14,1
"ENSMUSG00000033059","Pygb",4.64338499870578e-16,4.57425949352142e-14,1
"ENSMUSG00000056073","Grik2",4.92165981594798e-16,4.8265520654506e-14,1
"ENSMUSG00000019066","Rab3d",5.1200206692968e-16,4.99856367673814e-14,1
"ENSMUSG00000027376","Prom2",5.78174901450778e-16,5.61939543727004e-14,1
"ENSMUSG00000007034","Slc44a4",5.83497435370457e-16,5.64592118464454e-14,1
"ENSMUSG00000043091","Tuba1c",6.53495435329514e-16,6.29524297458356e-14,1
"ENSMUSG00000018796","Acsl1",7.01351809293052e-16,6.72648909256345e-14,1
"ENSMUSG00000002007","Srpk3",7.51347127589059e-16,7.17437645383395e-14,1
"ENSMUSG00000020723","Cacng4",7.88430949707319e-16,7.49560271007774e-14,1
"ENSMUSG00000020788","Atp2a3",7.94558268791025e-16,7.52101220428235e-14,1
"ENSMUSG00000005640","Insrr",8.19157836672985e-16,7.68701950957222e-14,1
"ENSMUSG00000027864","Ptgfrn",8.17387026267066e-16,7.68701950957222e-14,1
"ENSMUSG00000021684","Pde8b",8.50183309710135e-16,7.94392310545036e-14,1
"ENSMUSG00000038615","Nfe2l1",8.97662574066406e-16,8.35171448717937e-14,1
"ENSMUSG00000059991","Nptx2",9.46859894071262e-16,8.77195181013849e-14,1
"ENSMUSG00000056306","Sertm1",9.56642632683285e-16,8.8250282865033e-14,1
"ENSMUSG00000032878","Ccdc85a",9.66504156496787e-16,8.87838058695846e-14,1
"ENSMUSG00000001143","Lman2l",9.82253048176857e-16,8.98513912262956e-14,1
"ENSMUSG00000044365","Cxxc4",1.05730541275104e-15,9.63121177447821e-14,1
"ENSMUSG00000037375","Hhat",1.08015669723282e-15,9.79837143977319e-14,1
"ENSMUSG00000074872","Ctxn2",1.08471802060992e-15,9.79891951315297e-14,1
"ENSMUSG00000058997","Vwa8",1.09351895822831e-15,9.83760381801178e-14,1
"ENSMUSG00000085584","Rgag1",1.11409290242022e-15,9.98144715168342e-14,1
"ENSMUSG00000070639","Lrrc8b",1.14516297534446e-15,1.02177635804197e-13,1
"ENSMUSG00000087518","Gm13561",1.15047066184297e-15,1.02232231750952e-13,1
"ENSMUSG00000038112","AW551984",1.18910604247897e-15,1.05235884759389e-13,1
"ENSMUSG00000031770","Herpud1",1.19657005223163e-15,1.05467719057226e-13,1
