"","name","pval","adj_pval","significance"
"ENSMUSG00000039356","Exosc2",0.000185249716544243,0.00101716811573385,1
"ENSMUSG00000005553","Atp4a",0.000185612008947394,0.00101890041522787,1
"ENSMUSG00000040013","Fkbp6",0.000185933933954165,0.00102041030403734,1
"ENSMUSG00000029491","Pde6b",0.000186124109804786,0.00102119657120968,1
"ENSMUSG00000033983","Coil",0.000187323438309756,0.00102751790764467,1
"ENSMUSG00000029163","Emilin1",0.000187740895111696,0.0010295483696415,1
"ENSMUSG00000002949","Timm44",0.000187882316584448,0.00102981769991991,1
"ENSMUSG00000024327","Slc39a7",0.000187884612745482,0.00102981769991991,1
"ENSMUSG00000043463","Rab9b",0.00018812802596431,0.00103089233658923,1
"ENSMUSG00000022194","Pabpn1",0.000188329709757911,0.00103173782363852,1
"ENSMUSG00000038544","Inip",0.000188900458903333,0.00103460424925395,1
"ENSMUSG00000022765","Snap29",0.000189571772311061,0.00103801988304429,1
"ENSMUSG00000005470","Asf1b",0.000190097175355003,0.00104063505271656,1
"ENSMUSG00000032852","Rspo4",0.000190192367086724,0.00104089442530042,1
"ENSMUSG00000081137","BC022960",0.000190569882935985,0.00104269839693373,1
"ENSMUSG00000020986","Sec23a",0.000190764347316687,0.00104311118985654,1
"ENSMUSG00000024897","Apba1",0.000190828280519184,0.00104311118985654,1
"ENSMUSG00000032679","Cd59a",0.000190836978971963,0.00104311118985654,1
"ENSMUSG00000086980","Gm13791",0.000190779108716693,0.00104311118985654,1
"ENSMUSG00000043549","4932442L08Rik",0.000191439682198222,0.00104614290189194,1
"ENSMUSG00000074466","Gm15417",0.000191659760696498,0.00104708272274114,1
"ENSMUSG00000085184","4933439K11Rik",0.000191801542843607,0.00104759442780938,1
"ENSMUSG00000020275","Rel",0.000192405859378573,0.00105063154364959,1
"ENSMUSG00000005813","Metap1",0.000192884054156168,0.00105297862162336,1
"ENSMUSG00000043671","Dpy19l3",0.000193203265124415,0.00105445682753162,1
"ENSMUSG00000005233","Spc25",0.000193283876776123,0.00105463240132656,1
"ENSMUSG00000040824","Snrpd2",0.000193706109746506,0.00105667143956181,1
"ENSMUSG00000046139","Patl1",0.000193958925578942,0.00105778551322123,1
"ENSMUSG00000032598","Nckipsd",0.000194317109664359,0.00105947352729846,1
"ENSMUSG00000039004","Bmp6",0.000195092904175612,0.0010634370597915,1
"ENSMUSG00000066196","Spag8",0.000195369502804626,0.00106467820915132,1
"ENSMUSG00000031432","Prps1",0.000195709844439415,0.00106626602184447,1
"ENSMUSG00000024211","Grm8",0.000195970879481005,0.00106742107009781,1
"ENSMUSG00000032254","Kif23",0.000196127744651341,0.00106748663059518,1
"ENSMUSG00000054920","Klhl5",0.000196128057596783,0.00106748663059518,1
"ENSMUSG00000074909","Ranbp6",0.000196130013429826,0.00106748663059518,1
"ENSMUSG00000020132","Rab21",0.000196837000613166,0.00107037860006954,1
"ENSMUSG00000035325","Sec31a",0.000196750498543621,0.00107037860006954,1
"ENSMUSG00000041161","Otud3",0.000196898159883162,0.00107037860006954,1
"ENSMUSG00000048521","Cxcr6",0.00019689686293713,0.00107037860006954,1
"ENSMUSG00000049612","Omg",0.000196907183559713,0.00107037860006954,1
"ENSMUSG00000026883","Dab2ip",0.000197408921944788,0.00107283815268597,1
"ENSMUSG00000082746","Rps12-ps1",0.000198282176607515,0.00107731501545351,1
"ENSMUSG00000032122","Slc37a2",0.000199005797112758,0.00108097684853839,1
"ENSMUSG00000028698","Pik3r3",0.000199083151286367,0.00108112728527201,1
"ENSMUSG00000050106","Tmc8",0.000200009624741219,0.00108588766589553,1
"ENSMUSG00000008601","Rab25",0.000200253088331022,0.00108693841587003,1
"ENSMUSG00000021500","Ddx46",0.000201164963871776,0.00109161575983361,1
"ENSMUSG00000039824","Myl6b",0.000201355307597294,0.00109237637719927,1
"ENSMUSG00000021919","Chat",0.000201419353682119,0.00109245160663015,1
"ENSMUSG00000045973","Slc25a51",0.000201720199705474,0.00109381082634816,1
"ENSMUSG00000085761","4930455G09Rik",0.000201792769915536,0.00109393187097389,1
"ENSMUSG00000002996","Hbp1",0.000202605026530346,0.00109778846007769,1
"ENSMUSG00000045165","AI467606",0.000202561395688079,0.00109778846007769,1
"ENSMUSG00000026650","Meig1",0.000202926386677865,0.00109925612449958,1
"ENSMUSG00000048661","Lemd3",0.000204147915821657,0.0011055980784461,1
"ENSMUSG00000097787","2700046G09Rik",0.000204648089458337,0.00110803122496828,1
"ENSMUSG00000034403","Pja1",0.000204993984716379,0.00110962805600703,1
"ENSMUSG00000010057","Nprl2",0.000205130523573099,0.0011100911331618,1
"ENSMUSG00000034220","Gpc1",0.000206248093426152,0.00111586164065128,1
"ENSMUSG00000020181","Nav3",0.000206412626662467,0.00111647435902324,1
"ENSMUSG00000006191","Cdkal1",0.000208077900282275,0.00112520217760691,1
"ENSMUSG00000047361","Gm973",0.000208414435868701,0.00112674216123603,1
"ENSMUSG00000028527","Ak4",0.00020863845188344,0.00112767322143852,1
"ENSMUSG00000026315","Serpinb8",0.000209313252761301,0.00113103966886728,1
"ENSMUSG00000058672","Tubb2a",0.000210466299778425,0.00113698804279804,1
"ENSMUSG00000015869","Prpsap1",0.00021058586626686,0.0011373517475802,1
"ENSMUSG00000035273","Hpse",0.00021152043466486,0.00114211591842477,1
"ENSMUSG00000021692","Dimt1",0.000213499584469834,0.00115223090071709,1
"ENSMUSG00000036819","Jmjd4",0.000213473529845653,0.00115223090071709,1
"ENSMUSG00000018433","Nol11",0.000213552976686435,0.00115223342142265,1
"ENSMUSG00000060530","A930017M01Rik",0.000213999950166183,0.00115435899778691,1
"ENSMUSG00000036242","3632451O06Rik",0.0002143392311923,0.00115590275013316,1
"ENSMUSG00000012123","Aim1l",0.000214683019986035,0.00115747004163347,1
"ENSMUSG00000020897","Aurkb",0.000214879599814693,0.00115824307194001,1
"ENSMUSG00000001946","Esam",0.000215497403748895,0.00116128563787554,1
"ENSMUSG00000029408","Abcb9",0.000215724860984487,0.00116222369425718,1
"ENSMUSG00000048279","Sacs",0.000216986220174007,0.00116873008397039,1
"ENSMUSG00000024019","Cmtr1",0.000217693614404913,0.00117225022983165,1
"ENSMUSG00000062867","Impdh2",0.000218344984929345,0.00117546702940079,1
"ENSMUSG00000026255","Efhd1",0.000218655351431557,0.00117684688653064,1
"ENSMUSG00000097908","4933404O12Rik",0.000218779640194048,0.00117722480144948,1
"ENSMUSG00000020902","Ntn1",0.000218908120543157,0.00117762507841489,1
"ENSMUSG00000020690","Efcab3",0.000220028824099003,0.00118336154383878,1
"ENSMUSG00000033545","Znrf1",0.000220238879444611,0.00118419872669514,1
"ENSMUSG00000041720","Pi4ka",0.000221819029642625,0.00119240051712336,1
"ENSMUSG00000028782","Bai2",0.00022308219467598,0.00119889470755141,1
"ENSMUSG00000066975","Cryba4",0.000223760676656757,0.00120224424765406,1
"ENSMUSG00000027671","Actl6a",0.000223828345843145,0.00120231110716781,1
"ENSMUSG00000036432","Siah2",0.000224434912033242,0.00120527194619529,1
"ENSMUSG00000016477","E2f3",0.000224545030911779,0.00120556593538356,1
"ENSMUSG00000042558","Adprhl2",0.000225757893259148,0.00121177886936512,1
"ENSMUSG00000029838","Ptn",0.000225829227436008,0.00121186298016005,1
"ENSMUSG00000073643","Wdfy1",0.000226205694616819,0.00121358407528407,1
"ENSMUSG00000035849","Krt222",0.000226777086473645,0.00121634982744955,1
"ENSMUSG00000073940","Hbb-bt",0.000227484506875952,0.00121984364512225,1
"ENSMUSG00000028382","Ptbp3",0.000227749334769093,0.00122096300597339,1
"ENSMUSG00000019975","Ikbip",0.000228692928349835,0.00122564480679254,1
"ENSMUSG00000097414","B130046B21Rik",0.000228735237242115,0.00122564480679254,1
"ENSMUSG00000089736","Gm14378",0.000229249852765196,0.00122810003556867,1
"ENSMUSG00000034040","Wbscr17",0.000229342841820009,0.00122826813738497,1
"ENSMUSG00000042371","Slc5a10",0.000229394067640774,0.00122826813738497,1
"ENSMUSG00000051067","Lingo3",0.000230050353581952,0.00123147928395198,1
"ENSMUSG00000024018","Ccdc167",0.000230252037660255,0.00123225592721274,1
"ENSMUSG00000098713","RP24-225O12.5",0.000230490266940687,0.00123322772218375,1
"ENSMUSG00000028743","Akr7a5",0.000230792718171011,0.00123454257181845,1
"ENSMUSG00000027381","Bcl2l11",0.000230867800718094,0.0012346408473185,1
"ENSMUSG00000022723","Crybg3",0.000231016825583996,0.00123513440810147,1
"ENSMUSG00000041219","Arhgap11a",0.000231179202460137,0.0012356990956935,1
"ENSMUSG00000038459","Abhd17c",0.000231549787910841,0.00123707249879925,1
"ENSMUSG00000041328","Pcf11",0.000231499364000623,0.00123707249879925,1
"ENSMUSG00000031146","Plp2",0.000232439288450806,0.0012415200561488,1
"ENSMUSG00000056313","1810011O10Rik",0.000233132168965797,0.00124491548946636,1
"ENSMUSG00000043286","Pnpla1",0.000233525903457467,0.00124671222270047,1
"ENSMUSG00000097514","Gm17619",0.000233844989556206,0.00124810965129398,1
"ENSMUSG00000017386","Traf4",0.000234645791558123,0.00125207684510095,1
"ENSMUSG00000031239","Itm2a",0.000235556215559721,0.00125662689756204,1
"ENSMUSG00000032698","Lmo2",0.00023591577888686,0.00125823675211804,1
"ENSMUSG00000030707","Coro1a",0.000236092665572717,0.00125887176639324,1
"ENSMUSG00000051346","Spryd4",0.000236176043530293,0.00125900799307003,1
"ENSMUSG00000097334","2700012I20Rik",0.000236689157423406,0.00126143442993023,1
"ENSMUSG00000027406","Idh3b",0.000237931735039044,0.00126774640321464,1
"ENSMUSG00000075334","Rprm",0.000238106949614785,0.00126836956204147,1
"ENSMUSG00000038085","Cnbd2",0.00023817229556307,0.00126840730105274,1
"ENSMUSG00000026770","Il2ra",0.00023855520933867,0.00127013584311865,1
"ENSMUSG00000022206","Npr3",0.000239506161182873,0.00127488719684898,1
"ENSMUSG00000003581","Rnf215",0.000239907636951188,0.00127671209094703,1
"ENSMUSG00000022360","Atad2",0.000240092531204441,0.00127738379688463,1
"ENSMUSG00000052595","A1cf",0.000240303536149318,0.00127819405949348,1
"ENSMUSG00000028677","Rnf220",0.000240947705573687,0.00128130740059715,1
"ENSMUSG00000087455","5330411J11Rik",0.000241753217668154,0.00128527699678959,1
"ENSMUSG00000026074","Map4k4",0.000242410276353962,0.00128845559729055,1
"ENSMUSG00000025487","Psmd13",0.000242896674304468,0.00129041080924416,1
"ENSMUSG00000029797","Sspo",0.000242849404960603,0.00129041080924416,1
"ENSMUSG00000061079","Zfp143",0.000244073462176888,0.00129634626617541,1
"ENSMUSG00000057375","Yipf1",0.000244621824859143,0.00129894189000205,1
"ENSMUSG00000022623","Shank3",0.000245373899591343,0.00130261769519706,1
"ENSMUSG00000044600","Smim7",0.000245538103613603,0.00130317163670691,1
"ENSMUSG00000021838","Samd4",0.000246378213775058,0.00130731174557562,1
"ENSMUSG00000015357","Clpx",0.000246470258148847,0.00130748147908347,1
"ENSMUSG00000029123","Stk32b",0.000246790631684428,0.00130854331281093,1
"ENSMUSG00000056486","Chn1",0.000246771413351679,0.00130854331281093,1
"ENSMUSG00000032905","Atg12",0.000247228448947975,0.00131054554712597,1
"ENSMUSG00000004263","Atn1",0.000247327367110125,0.00131075075690227,1
"ENSMUSG00000095348","Gm3892",0.00024750250102349,0.00131135968600204,1
"ENSMUSG00000030223","Ptpro",0.000248216928155799,0.00131482499826762,1
"ENSMUSG00000058441","Panx2",0.000248779170202413,0.00131748268413445,1
"ENSMUSG00000020634","Ubxn2a",0.000249420423916751,0.00131988741499597,1
"ENSMUSG00000021598","Med10",0.000249315692078151,0.00131988741499597,1
"ENSMUSG00000026062","Slc9a2",0.000249475757324349,0.00131988741499597,1
"ENSMUSG00000039221","Rpl22l1",0.000249398479830915,0.00131988741499597,1
"ENSMUSG00000025066","Sfr1",0.000250209364076532,0.00132344705182463,1
"ENSMUSG00000003309","Ap1m2",0.000250682336447619,0.00132562670556257,1
"ENSMUSG00000028949","Smarcd3",0.000251386416993685,0.00132902712102222,1
"ENSMUSG00000020950","Foxg1",0.000252018187705553,0.0013320436913177,1
"ENSMUSG00000082946","Gm12177",0.000252335296671083,0.00133339605432674,1
"ENSMUSG00000056383","AI987944",0.000252940092438478,0.00133626759341861,1
"ENSMUSG00000040624","Plekhg1",0.000253326822846085,0.00133798599228096,1
"ENSMUSG00000030494","Rhpn2",0.000254058091446535,0.00134152284959556,1
"ENSMUSG00000013643","Lypd8",0.000254163133734886,0.00134175208160577,1
"ENSMUSG00000028126","Pip5k1a",0.000254244681595221,0.00134185720315383,1
"ENSMUSG00000022789","Dnm1l",0.00025441587950138,0.00134243531571123,1
"ENSMUSG00000001348","Acp5",0.00025454580147667,0.00134279540682059,1
"ENSMUSG00000067786","Nnat",0.000255401270984772,0.00134698184850036,1
"ENSMUSG00000037432","Fer1l5",0.00025546865717171,0.00134701093128731,1
"ENSMUSG00000006699","Cdc42",0.000255534593740059,0.00134703235842974,1
"ENSMUSG00000063415","Cyp26b1",0.000256208457567497,0.00135025764456596,1
"ENSMUSG00000001313","Rnd2",0.000256288768891802,0.00135035401441031,1
"ENSMUSG00000023809","Rps6ka2",0.000256817983641953,0.00135248774113908,1
"ENSMUSG00000032491","Nradd",0.000256814422773378,0.00135248774113908,1
"ENSMUSG00000031154","Otud5",0.000256972931461909,0.00135297646695459,1
"ENSMUSG00000027286","Lrrc57",0.000257873781832517,0.00135739122443804,1
"ENSMUSG00000053930","Shisa6",0.000258843754978694,0.00136216760687482,1
"ENSMUSG00000001138","Cnnm3",0.000259133621412964,0.00136336347795593,1
"ENSMUSG00000039492","Ccdc27",0.000259409268418469,0.00136448397746762,1
"ENSMUSG00000050730","Arhgap42",0.000259519491386403,0.00136473402100806,1
"ENSMUSG00000042419","Nfkbil1",0.000259821133981906,0.00136599031826131,1
"ENSMUSG00000058013","Sept11",0.000260012574174413,0.00136666676782983,1
"ENSMUSG00000021880","Rnase6",0.000260510037078821,0.00136895100585156,1
"ENSMUSG00000027575","Arfgap1",0.000260782188130789,0.00137005043865719,1
"ENSMUSG00000028779","Pef1",0.000262763328734015,0.00138012555605989,1
"ENSMUSG00000031103","Elf4",0.00026315094886835,0.00138182810125732,1
"ENSMUSG00000031683","Lsm6",0.000263716399913274,0.0013844634054767,1
"ENSMUSG00000028976","Slc2a5",0.00026387787617495,0.00138497715578709,1
"ENSMUSG00000014773","Dll1",0.00026472320981138,0.00138874433754302,1
"ENSMUSG00000022412","Mief1",0.000264684311679886,0.00138874433754302,1
"ENSMUSG00000024256","Adcyap1",0.000264819711310504,0.00138891590820067,1
"ENSMUSG00000083854","Dnajc19-ps",0.000264919169978476,0.0013891029021198,1
"ENSMUSG00000043833","2900005J15Rik",0.000266280882636194,0.00139590683743621,1
"ENSMUSG00000042046","Dstyk",0.000266433601247941,0.00139603512220672,1
"ENSMUSG00000043068","Fam89a",0.000266377634394959,0.00139603512220672,1
"ENSMUSG00000086262","A930031H19Rik",0.000266984286022177,0.0013985839487461,1
"ENSMUSG00000026970","Rbms1",0.000267714380883705,0.00140207115376934,1
"ENSMUSG00000022512","Cldn1",0.000268234610621534,0.0014044578421937,1
"ENSMUSG00000031723","Txnl4b",0.000268648568227797,0.00140628708316599,1
"ENSMUSG00000041566","Tssk1",0.000268801898674476,0.0014067514750101,1
"ENSMUSG00000053198","Prx",0.000268886801942317,0.00140685762198658,1
"ENSMUSG00000087211","1500016L03Rik",0.000269666490390076,0.0014105980687848,1
"ENSMUSG00000038525","Armc10",0.000269927831815738,0.00141162594918579,1
"ENSMUSG00000074259","Gramd2",0.000270003947933541,0.0014116849064508,1
"ENSMUSG00000024130","Abca3",0.000270804106531404,0.00141552850019092,1
"ENSMUSG00000050410","Tcf19",0.00027098614147879,0.00141614001107411,1
"ENSMUSG00000031169","Porcn",0.000271224044982134,0.00141670313898897,1
"ENSMUSG00000033446","Lpar6",0.000271212584608587,0.00141670313898897,1
"ENSMUSG00000027227","Sord",0.000271444766656764,0.00141751595463766,1
"ENSMUSG00000092192","Dyx1c1",0.000271609415177104,0.00141803563017284,1
"ENSMUSG00000053414","Hunk",0.00027205153405138,0.00142000334400206,1
"ENSMUSG00000001763","Tspan33",0.000274906517066004,0.00143387392981408,1
"ENSMUSG00000025892","Gria4",0.000274790559347078,0.00143387392981408,1
"ENSMUSG00000087424","5730405O15Rik",0.000274882871982906,0.00143387392981408,1
"ENSMUSG00000027404","Snrpb",0.000275454946576319,0.00143631659762731,1
"ENSMUSG00000032382","Snx1",0.000275506780198046,0.00143631659762731,1
"ENSMUSG00000023274","Cd4",0.00027620194231516,0.00143959599859788,1
"ENSMUSG00000028134","Ptbp2",0.000276659183334711,0.00144163405466252,1
"ENSMUSG00000042650","Alkbh5",0.000277143082899196,0.00144381001622359,1
"ENSMUSG00000026955","Sapcd2",0.000277902542673919,0.00144742015707031,1
"ENSMUSG00000031425","Plp1",0.0002781553699261,0.00144839047085891,1
"ENSMUSG00000017978","Cadps2",0.000278428983318566,0.00144946853080548,1
"ENSMUSG00000073680","Tmem88b",0.000278916056688196,0.00145150455899582,1
"ENSMUSG00000087056","Gm14004",0.000278953427717538,0.00145150455899582,1
"ENSMUSG00000002343","Armc6",0.000279052097648105,0.0014516710198081,1
"ENSMUSG00000028778","Hcrtr1",0.000279445624305278,0.00145337092373392,1
"ENSMUSG00000075284","Wipf1",0.000279840234496332,0.00145507564968227,1
"ENSMUSG00000015488","Cacfd1",0.000281308511000247,0.00146236093433295,1
"ENSMUSG00000029649","Pomp",0.000281916499453389,0.00146517166617324,1
"ENSMUSG00000040390","Map3k10",0.000282450604076833,0.00146759716022834,1
"ENSMUSG00000032396","Dis3l",0.000283310502879926,0.00147101778286845,1
"ENSMUSG00000043415","Otud1",0.000283300082626434,0.00147101778286845,1
"ENSMUSG00000059213","Ddn",0.000283350924096712,0.00147101778286845,1
"ENSMUSG00000093672","Gm20655",0.000283379200833692,0.00147101778286845,1
"ENSMUSG00000050747","Trim15",0.000283861597896907,0.00147317064310216,1
"ENSMUSG00000043895","S1pr2",0.000284368553336928,0.00147544989864115,1
"ENSMUSG00000072915","Gm12258",0.000286294309585974,0.00148508778031838,1
"ENSMUSG00000015536","Mocs2",0.000286702943788723,0.00148649911627156,1
"ENSMUSG00000027636","Sla2",0.000286681394150159,0.00148649911627156,1
"ENSMUSG00000060261","Gtf2i",0.000287480832346367,0.00149017742881256,1
"ENSMUSG00000018572","Phf23",0.000287613525393631,0.00149051036927987,1
"ENSMUSG00000030302","Atp2b2",0.000287836305959813,0.00149130990410545,1
"ENSMUSG00000031628","Casp3",0.000287982906014325,0.00149151292734426,1
"ENSMUSG00000034994","Eef2",0.000288012509602466,0.00149151292734426,1
"ENSMUSG00000060212","Pcnxl2",0.00029022338202516,0.00150260481571219,1
"ENSMUSG00000056749","Nfil3",0.000290316026786435,0.00150272710869412,1
"ENSMUSG00000015396","Cd83",0.000291408183663046,0.00150694716544612,1
"ENSMUSG00000038170","Pde4dip",0.000291388802984162,0.00150694716544612,1
"ENSMUSG00000056076","Eif3b",0.000291315574148714,0.00150694716544612,1
"ENSMUSG00000079497","Gm13420",0.000291277723388863,0.00150694716544612,1
"ENSMUSG00000026398","Nr5a2",0.000291588865923162,0.00150752343861628,1
"ENSMUSG00000029055","Plch2",0.000291836932934257,0.00150844773668369,1
"ENSMUSG00000023007","Prpf40b",0.000293482608936144,0.00151659384741248,1
"ENSMUSG00000097498","Zfp850",0.000294257752510587,0.00152023861649454,1
"ENSMUSG00000024940","Ltbp3",0.000294418493967488,0.00152070819268474,1
"ENSMUSG00000028633","Ctps",0.000295172534879199,0.00152424128483279,1
"ENSMUSG00000078515","Ddi2",0.000295554179150672,0.00152585013855568,1
"ENSMUSG00000055067","Smyd3",0.000295754239409948,0.00152652099245946,1
"ENSMUSG00000003166","Dgcr2",0.000295895613709711,0.00152688869544302,1
"ENSMUSG00000084781","D930015M05Rik",0.000296589704987429,0.00153010769366856,1
"ENSMUSG00000035754","Wdr18",0.00029721115594337,0.00153258741734796,1
"ENSMUSG00000087151","Gm14022",0.00029717495350522,0.00153258741734796,1
"ENSMUSG00000042202","Slc35e2",0.000297324431416641,0.00153280847652656,1
"ENSMUSG00000091625","Lsm5",0.000298110692478265,0.00153649807905878,1
"ENSMUSG00000070576","Mn1",0.000298378107160304,0.00153751237183124,1
"ENSMUSG00000071724","Smpd5",0.000298678226116256,0.00153869466653502,1
"ENSMUSG00000030669","Calca",0.000298774686174609,0.00153882746456291,1
"ENSMUSG00000019996","Map7",0.000299251536957975,0.0015407109176396,1
"ENSMUSG00000051223","Bzw1",0.000299281910371497,0.0015407109176396,1
"ENSMUSG00000009647","Mcu",0.000299833573089424,0.00154314559699303,1
"ENSMUSG00000059182","Skap2",0.000299896606535185,0.00154314559699303,1
"ENSMUSG00000094893","Gm4791",0.000300074962938708,0.00154369849199873,1
"ENSMUSG00000021179","Nrde2",0.000301737537700494,0.00155188469956944,1
"ENSMUSG00000041679","Lrrc29",0.000302000405197397,0.00155286982086739,1
"ENSMUSG00000026623","Lpgat1",0.00030350869944301,0.00156025688207173,1
"ENSMUSG00000024835","Coro1b",0.000303914748889652,0.0015619754480823,1
"ENSMUSG00000090397","Gm17096",0.000305840715169335,0.00157150299975256,1
"ENSMUSG00000066108","Muc5b",0.000305920160965073,0.00157154030777976,1
"ENSMUSG00000097592","4930500F10Rik",0.000306860036831339,0.00157599666474524,1
"ENSMUSG00000027187","Cat",0.000307211504966094,0.00157742964023982,1
"ENSMUSG00000046470","Sox18",0.000307313403604498,0.00157758078516235,1
"ENSMUSG00000042489","Clspn",0.000307659091903245,0.0015789830480494,1
"ENSMUSG00000037446","Tulp1",0.000308259841566239,0.00158169337985826,1
"ENSMUSG00000042632","Pla2g6",0.000309026867409896,0.00158525540301151,1
"ENSMUSG00000021733","Slc4a7",0.000309365453405391,0.0015866184419526,1
"ENSMUSG00000030061","Uba3",0.000310227815939603,0.00159066645803605,1
"ENSMUSG00000038518","Jarid2",0.000310370729495756,0.00159102452362894,1
"ENSMUSG00000028655","Mfsd2a",0.000311209721762399,0.0015949498240323,1
"ENSMUSG00000039254","Pomt1",0.000311724968871458,0.00159721447335856,1
"ENSMUSG00000060559","Gm10083",0.000312101220266589,0.00159876603915857,1
"ENSMUSG00000033166","Dis3",0.000312820282520089,0.00160207254075391,1
"ENSMUSG00000032311","Nrg4",0.000313488472113371,0.00160511700996712,1
"ENSMUSG00000060878","Olfr1420",0.000313691818840183,0.00160578052856093,1
"ENSMUSG00000024301","Kifc5b",0.000314448795904286,0.00160915763497249,1
"ENSMUSG00000027454","Gins1",0.0003147046095384,0.00160915763497249,1
"ENSMUSG00000031144","Syp",0.000314630165951359,0.00160915763497249,1
"ENSMUSG00000083512","Gm12749",0.000314543087998314,0.00160915763497249,1
"ENSMUSG00000086547","Gm11755",0.000314721106504656,0.00160915763497249,1
"ENSMUSG00000090551","A730015C16Rik",0.000314979804220037,0.00161010221124077,1
"ENSMUSG00000073481","Marc2",0.000315385019515233,0.00161179513142397,1
"ENSMUSG00000050052","Tdrp",0.000315493066454792,0.00161196891569756,1
"ENSMUSG00000057181","5730455P16Rik",0.000315661338111408,0.00161245025622324,1
"ENSMUSG00000012350","Ehf",0.000316174220185683,0.00161469128493139,1
"ENSMUSG00000045598","Zfp553",0.000316945365012896,0.00161824989251776,1
"ENSMUSG00000089824","Rbm12",0.000318781473915679,0.00162724301726102,1
"ENSMUSG00000063952","Brpf3",0.000319453847797875,0.0016302929489938,1
"ENSMUSG00000036046","5031439G07Rik",0.000319587029653119,0.00163059039666699,1
"ENSMUSG00000020628","Trappc12",0.000319747964946188,0.00163102927479931,1
"ENSMUSG00000031391","L1cam",0.000320569644708398,0.00163483760481296,1
"ENSMUSG00000023919","Cenpq",0.0003206688036573,0.00163496031016934,1
"ENSMUSG00000024617","Camk2a",0.000320864659531354,0.00163557586107635,1
"ENSMUSG00000034543","Morc2a",0.00032235309981235,0.00164277840262516,1
"ENSMUSG00000050989","Sepn1",0.000323057846454857,0.00164598464197723,1
"ENSMUSG00000044156","Hepacam2",0.000323368893619574,0.00164718394548239,1
"ENSMUSG00000004393","Ddx56",0.000323492734500648,0.00164742931527804,1
"ENSMUSG00000024970","AI846148",0.00032399425948855,0.00164925435859443,1
"ENSMUSG00000038208","Pgap3",0.000324002613187653,0.00164925435859443,1
"ENSMUSG00000079557","March2",0.000325206626797945,0.00165499613651661,1
"ENSMUSG00000051413","Plagl2",0.000325536104370069,0.00165628570419275,1
"ENSMUSG00000020887","A230052G05Rik",0.000326467349083501,0.00166040182956483,1
"ENSMUSG00000042377","Fam83g",0.000326497645141106,0.00166040182956483,1
"ENSMUSG00000081342","Gm11434",0.0003268359303217,0.0016617340119182,1
"ENSMUSG00000069806","Cacng7",0.00032840388792924,0.00166905467411658,1
"ENSMUSG00000074811","Hps6",0.000328429113220129,0.00166905467411658,1
"ENSMUSG00000017718","Afmid",0.000328664112834888,0.00166985913664605,1
"ENSMUSG00000028207","Asph",0.000328788377533104,0.00167010073898115,1
"ENSMUSG00000023336","Wfdc1",0.000330282326112205,0.00167729799901768,1
"ENSMUSG00000062017","Abca14",0.000331239496815288,0.00168176657769721,1
"ENSMUSG00000038201","Kcna7",0.000331682501924214,0.00168362316376593,1
"ENSMUSG00000024347","Psd2",0.000332430207927925,0.001687025188065,1
"ENSMUSG00000068740","Celsr2",0.000332873707249713,0.00168888219075589,1
"ENSMUSG00000039179","Tekt5",0.000333562537489858,0.00169198275948082,1
"ENSMUSG00000030518","Fam189a1",0.000334112984029481,0.00169438010139898,1
"ENSMUSG00000025486","Sirt3",0.000334505654818663,0.00169597638822942,1
"ENSMUSG00000037773","Pced1a",0.000334786958656273,0.00169700742186396,1
"ENSMUSG00000033405","Nudt15",0.000336444693925501,0.00170501336858754,1
"ENSMUSG00000055632","Hmcn2",0.000337450202191492,0.00170971104303257,1
"ENSMUSG00000053897","Slc39a8",0.000337701424568218,0.00171058578740686,1
"ENSMUSG00000022554","Fam203a",0.00033875511071391,0.00171552396263143,1
"ENSMUSG00000021565","Slc6a19",0.000339537715218002,0.00171908734837468,1
"ENSMUSG00000027419","Pcsk2",0.000339956814381872,0.00172080906903226,1
"ENSMUSG00000041733","Coq5",0.000340168965001636,0.00172148269108568,1
"ENSMUSG00000021645","Smn1",0.000340651918039499,0.00172352612308574,1
"ENSMUSG00000044636","Csrnp2",0.000342242082362158,0.00173116923213442,1
"ENSMUSG00000005410","Mcm5",0.000342679968952173,0.00173298155727242,1
"ENSMUSG00000028487","Bnc2",0.000343769621347933,0.00173808834797163,1
"ENSMUSG00000094904","Gm14476",0.000344730303780139,0.00174132794515021,1
"ENSMUSG00000095445","Gm14475",0.000344730303780139,0.00174132794515021,1
"ENSMUSG00000095655","Gm14479",0.000344730303780139,0.00174132794515021,1
"ENSMUSG00000096097","Gm14477",0.000344730303780139,0.00174132794515021,1
"ENSMUSG00000048347","Pcdhb18",0.000345057117579519,0.00174257446226483,1
"ENSMUSG00000000708","Kat2b",0.000345341710577979,0.00174360723121363,1
"ENSMUSG00000003037","Rab8a",0.00034587491978105,0.00174589447682663,1
"ENSMUSG00000041654","Slc39a11",0.000346343882467515,0.00174785643606868,1
"ENSMUSG00000073702","Rpl31",0.000347197160957476,0.00175175652171615,1
"ENSMUSG00000005846","Rsl1d1",0.000347524203434735,0.00175300033201521,1
"ENSMUSG00000036112","Metap2",0.000348394658398038,0.00175698404169184,1
"ENSMUSG00000063558","Aox1",0.000349366673683681,0.00176147796497624,1
"ENSMUSG00000035051","Dhx57",0.000349850029903427,0.00176309837986748,1
"ENSMUSG00000091985","Gm17354",0.000349823694128832,0.00176309837986748,1
"ENSMUSG00000051537","Gm5124",0.000351572594935962,0.00177136935069447,1
